Index Number,Evo Stages with Eviolite,Evo Stages w/o Eviolite,Pokémon,Type,SR,AC,Hit Dice,HP,,,WSp,Ssp,Fsp,Senses,STR,DEX,CON,INT,WIS,CHA,MIN LVL FD,Ev,Evolve,Evo Stages,ST1,ST2,ST3,Skill,Res,Vul,Imm,Ability1,Ability2,HiddenAbility,Moves,Evolution for sheet,Evolve Bonus,Climbing Speed,Burrowing Speed,Description 17
138,1,2,Omanyte,Rock/Water,2,15,8,28,,,15,30,,Darkvision 20ft.,14,11,15,6,10,10,1,,Omastar,2,CON,,,Survival,"Fire, Flying, Ice, Normal, Poison","Electric, Fighting, Grass, Ground",,Swift Swim,Shell Armor,Weak Armor,"Starting Moves: Constrict, Withdraw
Level 2: Bite, Water Gun
Level 6: Rollout, Leer
Level 10: Mud Shot
Level 14: Brine, Protect, Ancient Power
Level 18: Tickle, Rock Blast, Shell Smash, Hydro Pump

TM: 06, 07, 10, 13, 14, 17, 18, 21, 23, 27, 32, 37, 39, 42, 44, 45, 46, 48, 55, 69, 74, 80, 87, 88, 90, 94, 98, 100

Abilities: Swift Swim, Shell Armor
Hidden Ability: Weak Armor","Omanyte can evolve into Omastar at level 10 and above. When it evolves, its health increases by double its level, and it gains 9 points to add to its ability scores (max 20).",9,,,An ancient Pokémon that was recovered from a fossil. It swam by cleverly twisting its 10 tentacles about.
139,2,2,Omastar,Rock/Water,11,16,12,105,,,20,30,,Darkvision 50ft.,17,14,18,6,12,10,8,10,,2,CON,,,"Survival, Intimidation","Fire, Flying, Ice, Normal, Poison","Electric, Fighting, Grass, Ground",,Swift Swim,Shell Armor,Weak Armor,"Starting Moves: Constrict, Spike Cannon, Withdraw, Bite, Water Gun, Rollout, Leer
Level 10: Mud Shot
Level 14: Brine, Protect, Ancient Power
Level 18: Tickle, Rock Blast, Shell Smash, Hydro Pump

TM: 06, 07, 10, 13, 14, 15, 17, 18, 21, 23, 27, 32, 37, 39, 42, 44, 45, 46, 48, 55, 68, 69, 71, 74, 80, 87,88, 90, 94, 98, 100

Abilities: Swift Swim, Shell Armor
Hidden Ability: Weak Armor",,,,,"Its sharp beak rings its mouth. Its shell was too big for it to move freely, so it became extinct."
140,1,2,Kabuto,Rock/Water,2,14,8,28,,,15,30,,Darkvision 20ft.,14,12,14,6,10,10,1,,Kabutops,2,CON,,,Survival,"Fire, Flying, Ice, Normal, Poison","Electric, Fighting, Grass, Ground",,Swift Swim,Battle Armor,Weak Armor,"Starting Moves: Harden, Scratch
Level 2: Absorb, Leer
Level 6: Mud Shot
Level 10: Sand Attack, Endure
Level 14: Aqua Jet, Mega Drain
Level 18: Metal Sound, Ancient Power, Wring Out

TM: 06, 07, 10, 13, 14, 17, 18, 21, 23, 27, 32, 37, 39, 40, 42, 44, 45, 46, 48, 55, 69, 80, 87, 88, 90, 94, 98, 100

Abilities: Swift Swim, Battle Armor
Hidden Ability: Weak Armor","Kabuto can evolve into Kabutops at level 10 and above. When it evolves, its health increases by double its level, and it gains 9 points to add to its ability scores (max 20).",9,,,A Pokémon that was recovered from a fossil. It used the eyes on its back while hiding on the seafloor.
141,2,2,Kabutops,Rock/Water,11,16,12,89,,,30,40,,Darkvision 50ft.,18,16,15,6,12,10,8,10,,2,CON,,,"Survival, Intimidation","Fire, Flying, Ice, Normal, Poison","Electric, Fighting, Grass, Ground",,Swift Swim,Battle Armor,Weak Armor,"Starting Moves: Feint, Harden, Leer, Scratch, Slash, Absorb, Mud Shot
Level 10: Sand Attack, Endure
Level 14: Aqua Jet, Mega Drain
Level 18: Metal Sound, Ancient Power, Wring Out, Night Slash

TM: 06, 07, 10, 13, 14, 15, 17, 18, 21, 23, 27, 31, 32, 37, 39, 40, 42, 44, 45, 48, 55, 68, 69, 71, 75,  80, 81, 87, 88, 90, 94, 96, 98, 100

Abilities: Swift Swim, Battle Armor
Hidden Ability: Weak Armor",,,,,A slim and fast swimmer. It sliced its prey with its sharp sickles and drank the body fluids.
142,1,1,Aerodactyl,Rock/Flying,13,16,12,102,,,10,,50,Darkvision 50ft.,16,20,16,6,12,10,10,,,1,STR,CON,,"Perception, Investigation","Bug, Fire, Flying, Normal, Poison","Electric, Ice, Rock, Steel, Water",Ground,Rock Head,Pressure,Unnerve,"Starting Moves: Bite, Fire Fang, Ice Fang, Iron Head, Scary Face, Supersonic, Thunder Fang, Wing Attack, Roar, Agility, Ancient Power
Level 14: Crunch
Level 18: Take Down, Sky Drop, Hyper Beam, Rock Slide, Giga Impact

TM: 02, 05, 06, 10, 11, 12, 15, 17, 18, 19, 21, 23, 26, 27, 32, 35, 37, 38, 39,40, 41, 42, 44, 45, 46, 48, 51, 58, 59, 66, 68, 69, 71, 76, 78, 80, 87, 88, 90, 100

Abilities: Rock Head, Pressure
Hidden Ability: Unnerve",,,,,A savage Pokémon that died out in ancient times. It was resurrected using DNA taken from amber.
143,1,2,Snorlax,Normal,14,15,12,132,,,20,,,,18,12,20,6,14,10,10,,,2,STR,CON,,Survival,None,Fighting,Ghost,Immunity,Thick Fat,Gluttony,"Starting Moves: Tackle, Defense Curl, Amnesia, Lick, Chip Away, Yawn, Body Slam
Level 14: Rest, Snore, Sleep Talk, Giga Impact
Level 18: Rollout, Block, Belly Drum, Crunch, Heavy Slam

TM: 01, 06, 10, 11, 13, 14, 15, 17, 18, 21, 22, 23, 24, 25, 26, 27, 29, 30, 31, 32, 35, 37, 38, 39, 42, 44, 45, 48, 56, 68, 78, 80, 87, 88, 90, 93, 94, 100

Abilities: Immunity, Thick Fat
Hidden Ability: Gluttony",,,,,"Will eat anything, even if the food happens to be a little moldy. It never gets an upset stomach."
144,1,1,Articuno,Ice/Flying,14,18,12,246,,,20,,60,Darkvision 60ft.,18,16,18,6,14,16,15,,,1,DEX,CON,,"Arcana, Insight, Intimidation","Bug, Grass","Electric, Fire, Rock, Steel",Ground,Pressure,,Snow Cloak,"Starting Moves: Gust, Powder Snow, Mist, Ice Shard, Mind Reader, Ancient Power, Agility, Reflect
Level 18: Hail, Tailwind, Ice Beam, Blizzard, Roost, Hurricane, Sheer Cold, Freeze-Dry

TM: 05, 06, 07, 10, 11, 13, 14, 15, 17, 18, 19, 21, 27, 32, 33, 37, 40, 42, 44, 48, 51, 58, 68, 70, 76, 79, 97, 88, 89, 90, 100

Abilities: Pressure
Hidden Ability: Snow Cloak",,,,,A legendary bird Pokémon. It freezes water that is contained in winter air and makes it snow.
145,1,1,Zapdos,Electric/Flying,14,17,12,232,,,20,,60,Darkvision 60ft.,17,19,16,6,14,16,15,,,1,DEX,STR,,"Arcana, Insight, Intimidation","Bug, Fighting, Flying, Grass, Steel","Ice, Rock",Ground,Pressure,,Static,"Starting Moves: Peck, Thunder Shock, Thunder Wave, Detect, Pluck, Ancient Power, Charge, Agility
Level 18: Discharge, Rain Dance, Light Screen, Drill Peck, Thunder, Roost, Zap Cannon, Magnetic Flux

TM: 05, 06, 10, 11, 15, 16, 17, 18, 19, 21, 24, 25, 27, 32, 37, 40, 42, 44, 48, 51, 57, 58, 68, 72, 73, 76, 87, 88, 89, 90, 93, 100

Abilities: Pressure
Hidden Ability: Static",,,,,This legendary bird Pokémon is said to appear when the sky turns dark and lightning showers down.
146,1,1,Moltres,Fire/Flying,14,16,12,232,,,20,,60,Darkvision 60ft.,18,18,16,6,14,16,15,,,1,CON,STR,,"Arcana, Insight, Intimidation","Bug, Fairy, Fighting, Fire, Grass, Steel","Electric, Rock, Water",Ground,Pressure,,Flame Body,"Starting Moves: Ember, Wing Attack, Fire Spin, Agility, Endure, Ancient Power, Flamethrower
Level 18: Safeguard, Air Slash, Sunny Day, Heat Wave, Solar Beam, Sky Attack, Roost, Hurricane

TM: 05, 06, 10, 11, 15, 17, 18, 19, 20, 21, 22, 27, 32, 35, 38, 40, 42, 43, 44, 48, 50, 51, 58, 61, 68, 76, 87, 88, 89, 90, 100

Abilities: Pressure
Hidden Ability: Flame Body",,,,,"A legendary bird Pokémon. As it flaps its flaming wings, even the night sky will turn red."
147,1,3,Dratini,Dragon,0.25,13,8,20,,,30,30,,,12,12,10,6,10,12,1,,Dragonair,3,WIS,,,Arcana,"Electric, Fire, Grass, Water","Dragon, Fairy, Ice",,Shed Skin,,Marvel Scale,"Starting Moves: Leer, Wrap
Level 2: Thunder Wave, Twister
Level 6: Dragon Rage, Slam
Level 10: Agility
Level 14: Dragon Tail, Aqua Tail, Safeguard
Level 18: Dragon Rush, Dragon Dance, Outrage, Hyper Beam

TM: 06, 07, 10, 11, 13, 14, 15, 16, 17, 18, 20, 21, 24, 25, 32, 35, 38, 42, 44, 45, 48, 59, 73, 82, 87, 88, 90, 94, 98, 100

Abilities: Shed Skin
Hidden Ability: Marvel Scale","Dratini can evolve into Dragonair at level 6 and above. When it evolves, its health increases by double its level, and it gains 10 points to add to its ability scores (max 20).",10,,,"Long thought to be a myth, this Pokémon’s existence was only recently confirmed by a fisherman who caught one."
148,2,3,Dragonair,Dragon,6,14,10,53,,,30,30,30,,15,15,12,6,12,12,5,6,Dragonite,3,WIS,,,Arcana,"Electric, Fire, Grass, Water","Dragon, Fairy, Ice",,Shed Skin,,Marvel Scale,"Starting Moves: Leer, Thunder Wave, Twister, Wrap
Level 6: Dragon Rage, Slam
Level 10: Agility
Level 14: Dragon Tail, Safeguard
Level 18: Aqua Tail, Dragon Rush, Dragon Dance, Outrage, Hyper Beam

TM: 06, 07, 10, 11, 13, 14, 15, 16, 17, 18, 20, 21, 24, 25, 27, 32, 35, 38, 42, 44, 45, 48,59, 73, 82, 87, 88, 90, 94, 98, 100

Abilities: Shed Skin
Hidden Ability: Marvel Scale","Dragonair can evolve into Dragonite at level 16 and above. When it evolves, its health increases by double its level, and it gains 12 points to add to its ability scores (max 20).",12,,,"According to a witness, its body was surrounded by a strange aura that gave it a mystical look."
149,3,3,Dragonite,Dragon/Flying,14,17,12,173,,,30,,50,,19,18,16,6,14,14,15,16,,3,WIS,,,Arcana,"Bug, Fire, Fighting, Grass, Water","Dragon, Fairy, Ice, Rock",Ground,Inner Focus,,Multiscale,"Starting Moves: Fire Punch, Leer, Roost, Thunder Punch, Wing Attack, Wrap, Thunder Wave, Twister, Dragon Rage, Slam, Agility, Dragon Tail
Level 18: Aqua Tail, Dragon Rush, Safeguard, Dragon Dance, Outrage, Hyper Beam, Hurricane

TM: 02, 05, 06, 07, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 24, 25, 26, 27, 31, 32, 35, 37, 38, 39,40, 42, 44, 45, 48, 51, 52, 56, 58, 59, 68, 71, 73, 76, 78, 80, 82, 87, 88, 90, 94, 98, 100

Abilities: Inner Focus
Hidden Ability: Multiscale",,,,,"It is said that this Pokémon lives somewhere in the sea and that it flies. However, these are only rumors."
150,1,1,Mewtwo,Psychic,15,18,12,486,,,30,,40,"Darkvision 60ft., Truesight 30ft.",19,24,18,20,20,18,20,,,1,INT,WIS,,"Arcana, Insight, History, Religion","Fighting, Psychic","Bug, Dark, Ghost",,Pressure,,Unnerve,"Starting Moves: Confusion, Disable, Psywave, Safeguard, Swift, Future Sight, Psych Up, Miracle Eye, Psycho Cut, Guard Swap, Power Swap, Recover, Psychic, Barrier, Aura Sphere, Amnesia, Mist, Me First, Psystrike

TM: 03, 04, 06, 07, 08, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 24, 25, 26, 27, 29, 30, 31, 32, 33, 35, 37, 38, 39, 40, 41, 42, 44, 47, 48, 52, 53, 56, 57, 59, 61, 63, 69, 71, 73, 77, 78, 80, 84, 85, 86, 87, 88, 90, 92, 100

Abilities: Pressure
Hidden Ability: Unnerve",,,,,"Its DNA is almost the same as Mew’s. However, its size and disposition are vastly different."
151,1,1,Mew,Psychic,15,18,12,486,,,20,,50,"Darkvision 60ft., Truesight 50ft.",14,22,18,16,20,20,20,,,1,INT,WIS,,"Arcana, Insight, History, Religion","Fighting, Psychic","Bug, Dark, Ghost",,Synchronize,,,"Starting Moves: Pound, Reflect Type, Transform, Mega Punch, Metronome, Psychic, Barrier, Ancient Power, Amnesia, Me First, Baton Pass, Nasty Plot, Aura Sphere

TM: EVERY TM

Abilities: Synchronize
",,,,,"When viewed through a microscope, this Pokémon’s short, fine, delicate hair can be seen."
152,1,3,Chikorita,Grass,0.5,14,6,16,,,30,,,,14,11,10,6,10,12,1,,Bayleef,3,CON,,,Nature,"Electric, Grass, Ground, Water","Bug, Fire, Flying, Ice, Poison",,Overgrow,,Leaf Guard,"Starting Moves: Growl, Tackle
Level 2: Razor Leaf, Poison Powder
Level 6: Synthesis, Reflect, Magical Leaf
Level 10: Natural Gift, Sweet Scent, Light Screen
Level 14: Body Slam, Safeguard
Level 18: Aromatherapy, Solar Beam

TM: 01, 06, 10, 11, 16, 17, 20, 21, 22, 27, 32, 33, 42, 44, 45, 48, 49, 53, 75, 86, 87, 88, 90, 96, 100

Abilities: Overgrow
Hidden Ability: Leaf Guard","Chikorita can evolve into Bayleef at level 6 and above. When it evolves, its health increases by double its level, and it gains 6 points to add to its ability scores (max 20).",6,,,"In battle, Chikorita waves its leaf around to keep the foe at bay. However, a sweet fragrance also wafts from the leaf, becalming the battling Pokémon and creating a cozy, friendly atmosphere all around."
153,2,3,Bayleef,Grass,5,15,8,40,,,30,,,,16,14,11,6,12,10,5,6,Meganium,3,CON,,,Nature,"Electric, Grass, Ground, Water","Bug, Fire, Flying, Ice, Poison",,Overgrow,,Leaf Guard,"Starting Moves: Growl, Poison Powder, Razor Leaf, Tackle, Synthesis
Level 6: Reflect, Magical Leaf
Level 10: Natural Gift, Sweet Scent
Level 14: Light Screen, Body Slam
Level 18: Safeguard, Aromatherapy, Solar Beam

TM: 01, 06, 10, 11, 16, 17, 20, 21, 22, 27, 32, 33, 42, 44, 45, 48, 49, 53, 75, 86, 87, 88, 90, 96, 100

Abilities: Overgrow
Hidden Ability: Leaf Guard","Bayleef can evolve into Meganium at level 14 and above. When it evolves, its health increases by double its level, and it gains 10 points to add to its ability scores (max 20).",10,,,Bayleef's neck is ringed by curled-up leaves. Inside each tubular leaf is a small shoot of a tree. The fragrance of this shoot makes people peppy.
154,3,3,Meganium,Grass,13,17,12,112,,,30,,,,18,16,16,6,14,10,10,14,,3,CON,STR,,Nature,"Electric, Grass, Ground, Water","Bug, Fire, Flying, Ice, Poison",,Overgrow,,Leaf Guard,"Starting Moves: Growl, Petal Dance, Poison Powder, Razor Leaf, Tackle, Synthesis, Reflect, Magical Leaf, Natural Gift
Level 14: Sweet Scent, Light Screen, Body Slam, Petal Blizzard
Level 18: Safeguard, Aromatherapy, Solar Beam

TM: 01, 06, 10, 11, 15, 16, 17, 20, 21, 22, 26, 27, 32, 33, 42, 44, 45, 48, 49, 53, 68, 75, 78, 82, 86, 87, 88, 90, 96, 100

Abilities: Overgrow
Hidden Ability: Leaf Guard",,,,,"The fragrance of Meganium's flower soothes and calms emotions. In battle, this Pokémon gives off more of its becalming scent to blunt the foe's fighting spirit."
155,1,3,Cyndaquil,Fire,0.5,13,6,16,,,30,,,,12,14,11,6,10,10,1,,Quilava,3,DEX,,,Athletics,"Bug, Fairy, Fire, Grass, Ice, Steel","Ground, Rock, Water",,Blaze,,Flash Fire,"Starting Moves: Leer, Tackle
Level 2: Smokescreen, Ember, Quick Attack
Level 6: Flame Wheel, Defense Curl
Level 10: Flame Charge, Swift
Level 14: Lava Plume, Flamethrower, Inferno
Level 18: Rollout, Double-Edge, Eruption

TM: 01, 06, 10, 11, 17, 21, 27, 32, 35, 38, 40, 42, 43, 44, 45, 48, 50, 61, 87, 88, 90, 93, 96, 100

Abilities: Blaze
Hidden Ability: Flash Fire","Cyndaquil can evolve into Quilava at level 6 and above. When it evolves, its health increases by double its level, and it gains 6 points to add to its ability scores (max 20).",6,,,"Cyndaquil protects itself by flaring up the flames on its back. The flames are vigorous if the Pokémon is angry. However, if it is tired, the flames splutter fitfully with incomplete combustion."
156,2,3,Quilava,Fire,5,14,8,45,,,30,,,,14,15,12,6,12,10,5,6,Typhlosion,3,DEX,,,Athletics,"Bug, Fairy, Fire, Grass, Ice, Steel","Ground, Rock, Water",,Blaze,,Flash Fire,"Starting Moves: Leer, Smokescreen, Tackle, Ember, Quick Attack
Level 6: Flame Wheel, Defense Curl
Level 10: Swift, Flame Charge
Level 14: Lava Plume, Flamethrower
Level 18: Inferno, Rollout, Double-Edge, Eruption

TM: 01, 05, 06, 10, 11, 17, 21, 27, 31, 32, 35, 38, 40, 42, 43, 44, 45, 48, 50, 61, 87, 88, 90, 93, 96, 100

Abilities: Blaze
Hidden Ability: Flash Fire","Quilava can evolve into Typhlosion at level 14 and above. When it evolves, its health increases by double its level, and it gains 10 points to add to its ability scores (max 20).",10,,,Quilava keeps its foes at bay with the intensity of its flames and gusts of superheated air. This Pokémon applies its outstanding nimbleness to dodge attacks even while scorching the foe with flames.
157,3,3,Typhlosion,Fire,13,16,12,87,,,30,,,,17,20,13,6,14,10,10,14,,3,DEX,STR,,Athletics,"Bug, Fairy, Fire, Grass, Ice, Steel","Ground, Rock, Water",,Blaze,,Flash Fire,"Starting Moves: Ember, Gyro Ball, Leer, Smokescreen, Tackle, Quick Attack, Flame Wheel, Defense Curl, Swift
Level 14: Flame Charge, Lava Plume, Flamethrower
Level 18: Inferno, Rollout, Double-Edge, Eruption

TM: 01, 05, 06, 10, 11, 15, 17, 21, 22, 26, 27, 31, 32, 35, 38, 39, 40, 42, 43, 44, 45, 48, 50, 52, 56, 61, 65, 68, 74, 78, 80, 87, 88, 90, 93, 96, 100

Abilities: Blaze
Hidden Ability: Flash Fire",,,,,Typhlosion obscures itself behind a shimmering heat haze that it creates using its intensely hot flames. This Pokémon creates blazing explosive blasts that burn everything to cinders.
158,1,3,Totodile,Water,0.5,13,6,17,,,30,20,,,13,11,13,6,10,10,1,,Croconaw,3,STR,,,Athletics,"Fire, Ice, Steel, Water","Electric, Grass",,Torrent,,Sheer Force,"Starting Moves: Leer, Scratch
Level 2: Water Gun, Rage, Bite
Level 6: Scary Face, Ice Fang, Flail
Level 10: Crunch, Chip Away
Level 14: Slash, Screech, Thrash
Level 18: Aqua Tail, Superpower, Hydro Pump

TM: 01, 02, 06, 07, 10, 13, 14, 17, 18, 21, 27, 31, 32, 39, 40, 42, 44, 45, 48, 55, 56, 65, 75, 80, 87, 88, 90, 94, 98, 100

Abilities: Torrent
Hidden Ability: Sheer Force","Totodile can evolve into Croconaw at level 6 and above. When it evolves, its health increases by double its level, and it gains 6 points to add to its ability scores (max 20).",6,,,"Despite the smallness of its body, Totodile's jaws are very powerful. While the Pokémon may think it is just playfully nipping, its bite has enough power to cause serious injury."
159,2,3,Croconaw,Water,5,15,8,50,,,30,25,,,15,13,15,6,10,10,5,6,Feraligatr,3,STR,,,Athletics,"Fire, Ice, Steel, Water","Electric, Grass",,Torrent,,Sheer Force,"Starting Moves: Leer, Scratch, Water Gun, Rage, Bite
Level 6: Scary Face, Ice Fang
Level 10: Flail, Crunch
Level 14: Chip Away, Slash, Screech
Level 18: Thrash, Aqua Tail, Superpower, Hydro Pump

TM: 01, 02, 05, 06, 07, 10, 13, 14, 17, 18, 21, 27, 31, 32, 39, 40, 42, 44, 45, 48, 55, 56, 65, 75, 80, 87, 88, 90, 94, 98, 100

Abilities: Torrent
Hidden Ability: Sheer Force","Croconaw can evolve into Feraligatr at level 14 and above. When it evolves, its health increases by double its level, and it gains 10 points to add to its ability scores (max 20).",10,,,"Once Croconaw has clamped its jaws on its foe, it will absolutely not let go. Because the tips of its fangs are forked back like barbed fishhooks, they become impossible to remove when they have sunk in."
160,3,3,Feraligatr,Water,13,16,12,107,,,30,30,,,19,16,17,6,12,10,10,14,,3,STR,CON,,Athletics,"Fire, Ice, Steel, Water","Electric, Grass",,Torrent,,Sheer Force,"Starting Moves: Agility, Leer, Rage, Scratch, Water Gun, Bite, Scary Face, Ice Fang, Flail, Crunch
Level 14: Chip Away, Slash, Screech
Level 18: Thrash, Aqua Tail, Superpower, Hydro Pump

TM: 01, 02, 05, 06, 07, 10, 13, 14, 15, 17, 18, 21, 26, 27, 31, 32, 39, 40, 42, 44, 45, 48, 52, 55, 56, 65, 68, 75, 78, 80, 82, 87, 88, 90, 94, 98, 100

Abilities: Torrent
Hidden Ability: Sheer Force",,,,,"Feraligatr intimidates its foes by opening its huge mouth. In battle, it will kick the ground hard with its thick and powerful hind legs to charge at the foe at an incredible speed."
161,1,2,Sentret,Normal,0.125,11,6,16,,,30,,,,12,10,10,6,10,12,1,,Furret,2,DEX,,,"Acrobatics, Perception",None,Fighting,Ghost,Run Away,Keen Eye,Frisk,"Starting Moves: Foresight, Scratch, Defense Curl
Level 2: Quick Attack, Fury Swipes
Level 6: Helping Hand, Follow Me
Level 10: Slam, Rest, Sucker Punch
Level 14: Amnesia, Baton Pass
Level 18: Me First, Hyper Voice

TM: 01, 06, 10, 11, 13, 17, 18, 21, 22, 24, 27, 30, 31, 32, 35, 42, 44, 45, 46, 48, 49, 56, 57, 59, 65, 86, 87, 88, 89, 90, 94, 100

Abilities: Run Away, Keen Eye
Hidden Ability: Frisk","Sentret can evolve into Furret at level 5 and above. When it evolves, its health increases by double its level, and it gains 10 points to add to its ability scores (max 20).",10,30,,"When Sentret sleeps, it does so while another stands guard. The sentry wakes the others at the first sign of danger. When this Pokémon becomes separated from its pack, it becomes incapable of sleep due to fear."
162,2,2,Furret,Normal,5,14,8,45,,,35,,,,14,16,12,6,12,10,5,5,,2,DEX,,,"Acrobatics, Perception",None,Fighting,Ghost,Run Away,Keen Eye,Frisk,"Starting Moves: Agility, Coil, Defense Curl, Foresight, Quick Attack, Scratch, Fury Swipes
Level 6: Helping Hand, Follow Me
Level 10: Slam, Rest
Level 14: Sucker Punch, Amnesia
Level 18: Baton Pass, Me First, Hyper Voice

TM: 01, 06, 10, 11, 13, 14, 15, 17, 18, 21, 22, 24, 25, 27, 30, 31, 32, 35, 42, 44, 45, 46, 48, 49, 52, 56, 57, 59, 65, 68, 86, 87, 88, 89, 90, 94, 100

Abilities: Run Away, Keen Eye
Hidden Ability: Frisk",,,35,,"Furret has a very slim build. When under attack, it can slickly squirm through narrow spaces and get away. In spite of its short limbs, this Pokémon is very nimble and fleet."
163,1,2,Hoothoot,Normal/Flying,0.25,12,6,16,,,15,,25,Darkvision 60ft.,10,11,10,6,14,10,1,,Noctowl,2,WIS,,,"Perception, Insight","Bug, Grass","Electric, Ice, Rock","Ghost, Ground",Insomnia,Keen Eye,Tinted Lens,"Starting Moves: Foresight, Growl, Tackle, Hypnosis
Level 2: Peck, Confusion, Echoed Voice
Level 6: Zen Headbutt, Psycho Shift, Extrasensory
Level 10: Take Down, Reflect, Air Slash
Level 14: Uproar, Roost, Moonblast
Level 18: Synchronoise, Dream Eater

TM: 01, 06, 10, 11, 17, 18, 19, 21, 27, 29, 30, 32, 33, 40, 42, 44, 45, 46, 48, 49, 51, 76, 77, 85, 87, 88, 90, 100

Abilities: Insomnia, Keen Eye
Hidden Ability: Tinted Lens","Hoothoot can evolve into Noctowl at level 6 and above. When it evolves, its health increases by double its level, and it gains 10 points to add to its ability scores (max 20).",10,,,"It cries out at the same time every day. A long time ago, people cherished it and considered it a divine messenger sent to tell the time."
